BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3091.22,1235.4
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,961047.8,312973.46
E000215,2017 HON. ANNA G. ESHOO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,961047.8,312973.46
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,147.02,90.24
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,608655.85,214221.13
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14297.22,4422.82
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,86608.18,28605.37
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13863.33,2360.58
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,15793.12,5618.12
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22783.16,9178.34
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,18307.98,1533.27
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,780455.86,266029.87
E000297,2017 HON. ADRIANO ESPAILLAT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,780455.86,266029.87
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14856.52,14953.6
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,369229.88,221177.74
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28637.17,21090.95
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,46735.61,31092.17
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6187.43,4716.68
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14885.53,10024.27
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5108.9,4135.66
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,732.15,550.65
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,486373.19,307741.72
E000298,2017 HON. RON ESTES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,486373.19,307741.72
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2904.49,1298.23
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,739818.72,251095.6
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43355.28,14850.42
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45403.69,15481.97
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10292.85,1826.11
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,30999.69,11280
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10651.33,2058.82
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8684.01,2894.67
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,892110.06,300785.82
E000293,2017 HON. ELIZABETH H. ESTY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,892110.06,300785.82
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,480.53,421.04
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,482072.21,174633.34
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12676.22,3092.54
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,105.6,0
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54886.88,21900.79
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3224.3,1892.11
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34235,11699
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8079.4,3045.69
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5478.58,937.44
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,601238.72,217621.95
E000296,2017 HON. DWIGHT EVANS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,601238.72,217621.95
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12716.73,6394.04
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,589030.63,191777.82
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51321.84,18658.44
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71941.49,27483.91
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7072,4234.44
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35712.12,13659.65
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9809.91,-1340.25
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3024,1008
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,780628.72,261876.05
F000460,2017 HON. BLAKE FARENTHOLD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,780628.72,261876.05
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16367.35,14272.64
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,654755.49,230611.1
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27933.32,12141.6
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65066.67,26006.94
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20291.8,18244.92
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31517.92,10830
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18342.1,10410.86
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3588.57,1196.19
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,837863.22,323714.25
F000464,2017 HON. JOHN J. FASO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,837863.22,323714.25
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2146.7,1935.53
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,639143.31,217466.66
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34821.4,12849.03
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58887.28,20615.31
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,58415.89,41227.58
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37835,11275
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14372.76,1581.33
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,14332.76,7015.19
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,859955.1,313965.63
F000465,2017 HON. A. DREW FERGUSON IV,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,859955.1,313965.63
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,12178.96,3344.19
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,560972.2,183280.52
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17274.1,8582.51
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,80508.83,30938.7
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,22892.55,13604.45
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33365.04,12301.24
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11348.21,2898.41
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2705.24,897.75
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,741245.13,255847.77
F000466,2017 HON. BRIAN K. FITZPATRICK,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,741245.13,255847.77
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1572.18,576.65
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,652709.48,213012.51
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52009.54,20460.72
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,97202.65,29251.56
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8538.14,1056.56
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45448.53,14889.22
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12334.18,2913.34
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,362.79,209.79
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,870177.49,282370.35
F000459,"2017 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,870177.49,282370.35
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,851.91,358.89
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,651673.39,217158.34
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51167.24,15215.73
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,100081.34,36875.31
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3215.45,856.32
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38512.24,6805
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15192.83,2641.44
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4836.15,1612.05
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,865530.55,281523.08
F000461,2017 HON. BILL FLORES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,865530.55,281523.08
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30024.04,22450.83
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,660404.56,226331.95
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,43355.56,21504.03
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65002.01,20458.22
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4781.44,1046.7
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21651.62,9474.62
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22164.37,5943.27
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4734.47,2086.49
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,852118.07,309296.11
F000449,2017 HON. JEFF FORTENBERRY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,852118.07,309296.11
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,229.77,194.89
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,621067.11,200625.05
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23411.42,13143.4
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,86521.69,30205.5
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,709.41,373.34
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23565.58,7944.81
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6048.53,3182.44
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1810.95,448.05
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,763364.46,256117.48
F000454,2017 HON. BILL FOSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,763364.46,256117.48
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9104.53,3899.91
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,631411.82,229408.52
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52918.57,26003.21
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,70093.39,24763.85
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3636.97,2333.35
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39385.29,14537.5
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11589.04,5863.19
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10545.96,6366.79
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,828685.57,313176.32
F000450,2017 HON. VIRGINIA FOXX,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,828685.57,313176.32
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1762.33,650.09
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,715010.1,251999.95
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29685.07,10445.55
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49766.49,17878.13
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4129.84,1638.18
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33077.55,11605
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8127.64,2799.16
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,867.24,384.24
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,842426.26,297400.3
F000462,2017 HON. LOIS FRANKEL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,842426.26,297400.3
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,506.98,75.45
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,793765.28,265533.35
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,59714.72,18461.57
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74179.62,24690.06
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,850.52,234
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23170.44,8950.74
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,21906.62,11569.2
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6839.88,4199.96
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,980934.06,333714.33
F000448,2017 HON. TRENT FRANKS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,980934.06,333714.33
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52942.73,49401.39
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,485089.7,172069.92
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26623.52,7505.89
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,66842.38,23266.33
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,29842.33,29238.92
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38288.95,12555
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9025.57,3784.75
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3009.75,728.25
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,711664.93,298550.45
F000372,2017 HON. RODNEY P. FRELINGHUYSEN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,711664.93,298550.45
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,504.67,135.36
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,650575.39,209022.61
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31085.53,13104.86
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,87688.46,30626.35
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3679.25,1924.5
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23339.59,8143.04
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13795.62,4440.79
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1669.14,538.74
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,812337.65,267936.25
F000455,2017 HON. MARCIA FUDGE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,812337.65,267936.25
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,61531.04,31943.47
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,630603.27,196577.74
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52211.56,25833.72
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,266.51,55.63
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,104071.27,38503.99
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,85554.1,50261.64
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23854.5,7733.82
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11267.43,3144.26
G000571,2017 HON. TULSI GABBARD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5783.64,240
